id,position,primary,second,type
0001,one,A,aa,p
0002,one,A,aa,t
0003,one,A,aa,p
0004,one,A,aa,t
0005,one,A,aa,p
0006,one,A,aa,t
0007,one,A,aa,p
0008,one,A,ab,t
0009,one,A,ab,p
0010,one,A,ab,t
0011,one,A,ab,p
0012,one,A,ab,t
0013,one,A,ab,p
0014,one,A,ab,t
0015,one,A,ab,p
0016,one,A,ab,t
0017,one,A,ab,p
0018,one,A,ac,t
0019,one,A,ac,p
0020,one,A,ac,t
0021,one,A,ac,p
0022,one,A,ac,t
0023,one,A,ac,p
0024,one,A,ac,t
0025,one,A,ac,p
0026,one,A,ac,t
0027,one,A,ac,p
0028,one,A,ad,t
0029,one,A,ad,p
0030,one,A,ad,t
0031,one,A,ad,p
0032,one,A,ad,t
0033,one,A,ad,p
0034,one,A,ad,t
0035,one,A,ad,p
0036,one,A,ad,t
0037,one,A,ad,p
0038,one,B,ba,t
0039,one,B,ba,p
0040,one,B,ba,t
0041,one,B,ba,p
0042,one,B,ba,t
0043,one,B,ba,p
0044,one,B,ba,t
0045,one,B,ba,p
0046,one,B,ba,t
0047,one,B,ba,p
0048,one,B,bb,t
0049,one,B,bb,p
0050,one,B,bb,t
0051,one,B,bb,p
0052,one,B,bb,t
0053,one,B,bb,p
0054,one,B,bb,t
0055,one,B,bb,p
0056,one,B,bb,t
0057,one,B,bb,p
0058,one,B,bc,t
0059,one,B,bc,p
0060,one,B,bc,t
0061,one,B,bc,p
0062,one,B,bc,t
0063,one,B,bc,p
0064,one,B,bc,t
0065,one,B,bc,p
0066,one,B,bc,t
0067,one,B,bc,p
0068,one,B,bd,t
0069,one,B,bd,p
0070,one,B,bd,t
0071,one,B,bd,p
0072,one,B,bd,t
0073,one,B,bd,p
0074,one,B,bd,t
0075,one,B,bd,p
0076,one,B,bd,t
0077,one,B,bd,p
0078,one,C,ca,t
0079,one,C,ca,p
0080,one,C,ca,t
0081,one,C,ca,p
0082,one,C,ca,t
0083,one,C,ca,p
0084,one,C,ca,t
0085,one,C,ca,p
0086,one,C,ca,t
0087,one,C,ca,p
0088,one,C,cb,t
0089,one,C,cb,p
0090,one,C,cb,t
0091,one,C,cb,p
0092,one,C,cb,t
0093,one,C,cb,p
0094,one,C,cb,t
0095,one,C,cb,p
0096,one,C,cb,t
0097,one,C,cb,p
0098,one,C,cc,t
0099,one,C,cc,p
0100,one,C,cc,t
